Origin;Transport Mode;Indicator;Footnoote;Missing value notes;Value
Afghanistan;Other modes;Transport_expenditure_US_Value;Experimental;;129249.28
Albania;Railway;Transport_expenditure_US_Value;Experimental;;14725.96
American Samoa;All modes;Transport_expenditure_US_Value;Experimental;;2366.94
Andorra;Air;Transport_expenditure_US_Value;Experimental;;8239.02
Andorra;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Anguilla;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Antigua and Barbuda;Other modes;Transport_expenditure_US_Value;Experimental;;3.71
Antigua and Barbuda;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Argentina;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Armenia;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;32167.22
Armenia;Air;Transport_expenditure_US_Value;Experimental;;4285.62
Aruba;All modes;Transport_expenditure_US_Value;Experimental;;311787.15
Aruba;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Australia;All modes;Transport_expenditure_US_Value;Experimental;;117707825.19
Austria;Air;Transport_expenditure_US_Value;Experimental;;4609191.48
Austria;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Bahamas;Other modes;Transport_expenditure_US_Value;Experimental;;33974.57
Bahamas;Sea;Transport_expenditure_US_Value;Experimental;;2220932.71
Bangladesh;Sea;Transport_expenditure_US_Value;Experimental;;1806049.27
Belarus;All modes;Transport_expenditure_US_Value;Experimental;;593599.13
Belarus;Other modes;Transport_expenditure_US_Value;Experimental;;43789.44
Belarus;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Belgium;All modes;Transport_expenditure_US_Value;Experimental;;68275436.93
Belize;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;3657.16
Belize;Sea;Transport_expenditure_US_Value;Experimental;;3431.14
Benin;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;225859.11
Benin;Road;Transport_expenditure_US_Value;Experimental;;174932.72
Bermuda;Other modes;Transport_expenditure_US_Value;Experimental;;320.47
Bermuda;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;4539.1
Bolivia (Plurinational State of);Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;24626.36
Bolivia (Plurinational State of);Air;Transport_expenditure_US_Value;Experimental;;5086.38
Bosnia and Herzegovina;All modes;Transport_expenditure_US_Value;Experimental;;1973262.91
Botswana;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;30.24
Botswana;Sea;Transport_expenditure_US_Value;Experimental;;13.05
Bouvet Island;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
British Indian Ocean Territory;Non-identified mode;Transport_expenditure_US_Value;Experimental;;5894.47
British Virgin Islands;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Brunei Darussalam;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;27025.38
Cabo Verde;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;61.88
Cameroon;Sea;Transport_expenditure_US_Value;Experimental;;98404.9
Cameroon;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Canada;All modes;Transport_expenditure_US_Value;Experimental;;50688404.79
Canada;Air;Transport_expenditure_US_Value;Experimental;;15574675.9
Cayman Islands;Sea;Transport_expenditure_US_Value;Experimental;;56.5
Central African Republic;Air;Transport_expenditure_US_Value;Experimental;;568.81
Central African Republic;Road;Transport_expenditure_US_Value;Experimental;;439.14
Central African Republic;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Chad;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;1538568.58
Chad;Air;Transport_expenditure_US_Value;Experimental;;75391.52
China;Sea;Transport_expenditure_US_Value;Experimental;;772542151.07
China;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
China, Hong Kong SAR;Road;Transport_expenditure_US_Value;Experimental;;3189999.9
China, Macao SAR;All modes;Transport_expenditure_US_Value;Experimental;;52889.93
China, Macao SAR;Other modes;Transport_expenditure_US_Value;Experimental;;3356.15
China, Taiwan Province of;All modes;Transport_expenditure_US_Value;Experimental;;104915190.64
China, Taiwan Province of;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;95706782.06
Cocos (Keeling) Islands;All modes;Transport_expenditure_US_Value;Experimental;;168.12
Colombia;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Comoros;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Congo, Dem. Rep. of the;Other modes;Transport_expenditure_US_Value;Experimental;;311288.11
Congo, Dem. Rep. of the;Air;Transport_expenditure_US_Value;Experimental;;599814.87
Costa Rica;Other modes;Transport_expenditure_US_Value;Experimental;;2786087.93
Cote d'Ivoire;Road;Transport_expenditure_US_Value;Experimental;;11945.65
Croatia;All modes;Transport_expenditure_US_Value;Experimental;;2749737.98
Croatia;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;2576866.64
Croatia;Road;Transport_expenditure_US_Value;Experimental;;415587.3
Cuba;Other modes;Transport_expenditure_US_Value;Experimental;;1450.93
Cuba;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;33602.18
Curacao;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;52328.58
Cyprus;All modes;Transport_expenditure_US_Value;Experimental;;2785248.98
Cyprus;Sea;Transport_expenditure_US_Value;Experimental;;1275890.78
Czechia;Air;Transport_expenditure_US_Value;Experimental;;7715601.67
Czechia;Railway;Transport_expenditure_US_Value;Experimental;;1701673.33
Czechia;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Denmark;Railway;Transport_expenditure_US_Value;Experimental;;2213679.28
Denmark;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Djibouti;Other modes;Transport_expenditure_US_Value;Experimental;;207341.18
Djibouti;Road;Transport_expenditure_US_Value;Experimental;;19079.05
Dominican Republic;Other modes;Transport_expenditure_US_Value;Experimental;;50544.44
Ecuador;Air;Transport_expenditure_US_Value;Experimental;;5843299.88
Egypt;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;280089228.57
Eritrea;Other modes;Transport_expenditure_US_Value;Experimental;;4.9
Eritrea;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;18.72
Eritrea;Sea;Transport_expenditure_US_Value;Experimental;;3.96
Eritrea;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Estonia;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;4402598.95
Estonia;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Ethiopia;Sea;Transport_expenditure_US_Value;Experimental;;206630.99
Ethiopia;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Falkland Islands (Malvinas);All modes;Transport_expenditure_US_Value;Experimental;;2187.89
Falkland Islands (Malvinas);Other modes;Transport_expenditure_US_Value;Experimental;;1414.58
Faroe Islands;Other modes;Transport_expenditure_US_Value;Experimental;;3.3
Fiji;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;194173.74
Finland;All modes;Transport_expenditure_US_Value;Experimental;;27107012.85
Finland;Railway;Transport_expenditure_US_Value;Experimental;;190552.35
France;Road;Transport_expenditure_US_Value;Experimental;;21841822.32
French Southern Territories;All modes;Transport_expenditure_US_Value;Experimental;;2020.32
Gabon;All modes;Transport_expenditure_US_Value;Experimental;;113715.5
Gabon;Sea;Transport_expenditure_US_Value;Experimental;;75685.8
Gambia;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Georgia;Sea;Transport_expenditure_US_Value;Experimental;;17335682.41
Georgia;Railway;Transport_expenditure_US_Value;Experimental;;755534.64
Georgia;Road;Transport_expenditure_US_Value;Experimental;;2765762.25
Georgia;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Germany;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;426173844.66
Ghana;Road;Transport_expenditure_US_Value;Experimental;;11187.66
Gibraltar;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Greece;All modes;Transport_expenditure_US_Value;Experimental;;39120168.7
Greece;Other modes;Transport_expenditure_US_Value;Experimental;;1854994.19
Greece;Sea;Transport_expenditure_US_Value;Experimental;;25184853.28
Greenland;All modes;Transport_expenditure_US_Value;Experimental;;279.84
Grenada;Sea;Transport_expenditure_US_Value;Experimental;;2402.61
Guinea;Sea;Transport_expenditure_US_Value;Experimental;;35.81
Guinea;Road;Transport_expenditure_US_Value;Experimental;;52.58
Guyana;Air;Transport_expenditure_US_Value;Experimental;;2444.49
Guyana;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Haiti;Sea;Transport_expenditure_US_Value;Experimental;;2597.22
Holy See;All modes;Transport_expenditure_US_Value;Experimental;;3041.47
Hungary;Sea;Transport_expenditure_US_Value;Experimental;;6839177.2
Hungary;Railway;Transport_expenditure_US_Value;Experimental;;492869.82
Hungary;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Iceland;Sea;Transport_expenditure_US_Value;Experimental;;44241.58
Iceland;Road;Transport_expenditure_US_Value;Experimental;;10340.77
India;All modes;Transport_expenditure_US_Value;Experimental;;560995676.52
India;Railway;Transport_expenditure_US_Value;Experimental;;56298325.39
Iraq;All modes;Transport_expenditure_US_Value;Experimental;;1188479.68
Ireland;Other modes;Transport_expenditure_US_Value;Experimental;;1626604.2
Ireland;Air;Transport_expenditure_US_Value;Experimental;;8668013.3
Italy;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Jamaica;All modes;Transport_expenditure_US_Value;Experimental;;1683.46
Jamaica;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Jordan;All modes;Transport_expenditure_US_Value;Experimental;;121454347.23
Jordan;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;110987101.84
Kazakhstan;All modes;Transport_expenditure_US_Value;Experimental;;1026469.49
Kazakhstan;Other modes;Transport_expenditure_US_Value;Experimental;;33036.46
Kenya;All modes;Transport_expenditure_US_Value;Experimental;;6133217.95
Lao People's Dem. Rep.;Air;Transport_expenditure_US_Value;Experimental;;29217.97
Lebanon;Air;Transport_expenditure_US_Value;Experimental;;851602.22
Liberia;Other modes;Transport_expenditure_US_Value;Experimental;;20.08
Liberia;Railway;Transport_expenditure_US_Value;Experimental;;3.35
Liberia;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Libya;All modes;Transport_expenditure_US_Value;Experimental;;8310.81
Libya;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;7905.91
Libya;Air;Transport_expenditure_US_Value;Experimental;;194.06
Libya;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Luxembourg;Railway;Transport_expenditure_US_Value;Experimental;;35323.23
Malaysia;All modes;Transport_expenditure_US_Value;Experimental;;119721981.95
Malaysia;Other modes;Transport_expenditure_US_Value;Experimental;;19842259.32
Mali;Railway;Transport_expenditure_US_Value;Experimental;;0.0
Malta;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Mauritania;Road;Transport_expenditure_US_Value;Experimental;;5264.4
Moldova, Republic of;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;504704.2
Mongolia;Sea;Transport_expenditure_US_Value;Experimental;;284.8
Montenegro;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;579.24
Morocco;Railway;Transport_expenditure_US_Value;Experimental;;1189395.59
Mozambique;Air;Transport_expenditure_US_Value;Experimental;;10768.25
Mozambique;Road;Transport_expenditure_US_Value;Experimental;;134973.44
Mozambique;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Myanmar;Air;Transport_expenditure_US_Value;Experimental;;365084.26
Namibia;Air;Transport_expenditure_US_Value;Experimental;;9577.09
Namibia;Road;Transport_expenditure_US_Value;Experimental;;87512.18
Nauru;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Nepal;Sea;Transport_expenditure_US_Value;Experimental;;600.38
Nepal;Road;Transport_expenditure_US_Value;Experimental;;1970.34
Nepal;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Nicaragua;Other modes;Transport_expenditure_US_Value;Experimental;;36374.42
Nicaragua;Air;Transport_expenditure_US_Value;Experimental;;17514.87
Niger;Air;Transport_expenditure_US_Value;Experimental;;5297.06
Niger;Sea;Transport_expenditure_US_Value;Experimental;;906.51
Niger;Road;Transport_expenditure_US_Value;Experimental;;796.82
Niger;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Nigeria;Sea;Transport_expenditure_US_Value;Experimental;;458886.85
North Macedonia;Road;Transport_expenditure_US_Value;Experimental;;507299.82
Norway;All modes;Transport_expenditure_US_Value;Experimental;;18681413.67
Norway;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;16842943.15
Norway;Sea;Transport_expenditure_US_Value;Experimental;;4458913.96
Norway;Railway;Transport_expenditure_US_Value;Experimental;;1339169.22
Oman;Other modes;Transport_expenditure_US_Value;Experimental;;5330267.44
Oman;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;94790476.46
