YEAR;MONTH;VEHICLE_COUNT;DRIVER_COUNT;TRIPS_COUNT
2019;2;130;130;713
2019;6;232;232;2131
2019;10;121863;120955;3967951
2020;2;161820;158834;6366677
2020;5;25477;25221;673586
2020;7;87297;86149;2912315
2020;8;100960;99851;3814050
2021;2;95259;95579;3756601
2021;5;108696;108616;5053299
2021;7;113156;113362;5293966
2020;1;151663;148677;4965718
2020;4;23044;22827;399958
2021;6;113771;113978;5533783
2021;9;128367;128391;6257647
2021;12;133145;132800;6503524
2022;1;131790;131358;6060670
2022;5;128081;127394;6554251
2022;6;127609;126859;6342321
2022;8;121526;120694;5836343
2019;7;311;311;2434
2019;12;160696;158417;7111221
2020;6;52482;51924;1333912
2020;10;113525;112441;4602843
2021;3;100298;100727;4850104
2021;10;131385;131230;6504967
2022;2;125678;125371;5695673
2022;7;123008;122196;5732264
2022;9;106221;105648;5493185
2022;11;111100;110611;5615632
2019;3;121;121;624
2019;4;154;154;1359
2019;5;246;246;2216
2019;9;22259;22225;134256
2020;3;115784;114942;2841569
2020;9;109127;107924;4359058
2020;11;92770;93130;4107802
2021;1;100948;101242;4673511
2021;4;100618;100649;4655836
2021;8;121054;121152;5992995
2022;3;129487;128944;6646689
2022;4;111733;111212;5096006
2022;10;110585;109958;5871223
2022;12;115868;115282;5743723
2019;1;121;121;397
2019;8;331;331;2578
2019;11;156514;154768;6811409
2020;12;92006;92329;3493163
2021;11;133146;132892;6389314
