country;latitude;longitude;time;weather_code;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;daylight_duration;sunshine_duration;uv_index_max;uv_index_clear_sky_max;precipitation_hours;wind_speed_10m_max;wind_gusts_10m_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum
Andorra;42.55;1.6;2025-02-01;3;-3.7;-9.0;-8.2;-14.7;2025-02-01T11:07:00+03:00;2025-02-01T21:07:00+03:00;35980.59;31056.0;3.6;3.6;0.0;16.0;42.5;0.0;0.0;0.0;0.0
Andorra;42.55;1.6;2025-02-04;3;0.3;-6.8;-4.4;-11.5;2025-02-04T11:03:00+03:00;2025-02-04T21:10:00+03:00;36419.08;32845.29;3.3;3.3;0.0;12.0;49.3;0.0;0.0;0.0;0.0
United Arab Emirates;23.38;53.88;2025-02-03;2;21.9;12.8;19.5;10.6;2025-02-03T10:03:00+03:00;2025-02-03T21:12:00+03:00;40144.86;37461.79;5.85;5.85;0.0;19.5;28.4;0.0;0.0;0.0;0.0
Afghanistan;33.88;67.75;2025-02-02;3;-5.4;-11.5;-9.7;-15.8;2025-02-02T09:54:00+03:00;2025-02-02T20:30:00+03:00;38127.06;34830.25;5.3;5.3;0.0;15.8;25.2;0.0;0.0;0.0;0.0
Afghanistan;33.88;67.75;2025-02-04;85;-8.1;-16.2;-13.0;-21.3;2025-02-04T09:53:00+03:00;2025-02-04T20:32:00+03:00;38338.29;34819.02;5.0;5.0;15.0;11.3;20.5;3.2;0.0;0.0;0.84
Antigua and Barbuda;17.12;-61.75;2025-02-01;2;26.8;24.5;27.8;25.5;2025-02-01T09:38:00+03:00;2025-02-01T21:02:00+03:00;41058.93;38435.65;7.35;7.35;3.0;28.6;51.5;0.6;0.0;0.6;0.0
Albania;41.12;20.12;2025-01-29;80;16.1;8.7;15.2;6.7;2025-01-29T09:52:00+03:00;2025-01-29T19:52:00+03:00;35960.77;18000.0;2.65;3.25;12.0;12.0;26.6;4.2;2.1;2.1;0.0
Albania;41.12;20.12;2025-01-31;3;14.2;6.0;12.3;3.5;2025-01-31T09:51:00+03:00;2025-01-31T19:54:00+03:00;36222.1;29515.97;3.25;3.25;2.0;6.6;15.8;0.2;0.0;0.2;0.0
Albania;41.12;20.12;2025-02-02;61;12.7;6.4;9.8;3.5;2025-02-02T09:49:00+03:00;2025-02-02T19:57:00+03:00;36493.0;3431.04;2.7;3.35;12.0;12.7;17.6;3.3;1.5;1.5;0.0
Albania;41.12;20.12;2025-02-04;80;11.5;5.1;9.1;3.3;2025-02-04T09:46:00+03:00;2025-02-04T19:59:00+03:00;36772.05;19129.81;3.25;3.25;9.0;7.2;13.0;2.7;0.9;1.2;0.0
Netherlands Antilles;12.25;-69.12;2025-01-31;3;29.3;26.2;30.4;26.8;2025-01-31T10:01:00+03:00;2025-01-31T21:38:00+03:00;41779.65;37540.91;7.85;7.85;1.0;33.5;54.4;0.1;0.0;0.1;0.0
Argentina;-38.38;-63.62;2025-01-30;0;37.1;21.4;34.4;18.8;2025-01-30T09:25:00+03:00;2025-01-30T23:30:00+03:00;50689.67;46928.88;8.9;8.9;0.0;26.0;44.6;0.0;0.0;0.0;0.0
Argentina;-38.38;-63.62;2025-02-03;3;34.2;17.9;32.9;18.6;2025-02-03T09:30:00+03:00;2025-02-03T23:26:00+03:00;50188.7;42527.5;8.55;8.55;0.0;22.7;42.5;0.0;0.0;0.0;0.0
American Samoa;-14.25;-170.12;2025-01-31;95;29.5;27.9;34.7;30.1;2025-01-31T09:12:00+03:00;2025-01-31T21:55:00+03:00;45786.36;41786.44;9.85;9.85;9.0;25.0;33.1;5.4;0.0;5.4;0.0
American Samoa;-14.25;-170.12;2025-02-03;80;28.8;27.9;36.5;32.9;2025-02-03T09:13:00+03:00;2025-02-03T21:54:00+03:00;45666.66;42669.2;9.35;9.35;12.0;11.1;18.7;2.8;0.0;2.8;0.0
